ct_shortname,bd_feb15avgdif_date,bd_feb15avgdif_holi,bd_feb29avgdif_date,bd_feb29avgdif_holi
石嘴山,4.901778260869564,4.962178260869566,1.7832945945945933,1.8208405405405403
吴忠,5.11560434782609,5.123130434782609,2.2864891891891914,2.2911675675675682
中卫,5.240978260869563,5.207573913043476,2.0948648648648636,2.0740999999999987
呼和浩特,5.20937391304348,5.591508695652173,2.3114702702702727,2.549013513513513
阿拉善盟,3.8754826086956524,4.154839130434782,1.121672972972974,1.2953270270270276
包头,5.111526086956524,5.343147826086958,1.9215135135135153,2.065494594594596
巴彦淖尔,6.209743478260868,6.263647826086957,2.691283783783783,2.7247918918918916
赤峰,5.163021739130432,5.0961434782608706,2.109194594594594,2.067621621621623
鄂尔多斯,5.051630434782609,5.427695652173913,1.8112837837837836,2.0450540540540545
呼伦贝尔,4.182560869565217,4.197095652173914,1.5771783783783775,1.5862135135135134
通辽,4.987943478260869,4.8452782608695655,1.9489648648648648,1.8602810810810824
乌海,4.72751739130435,4.961182608695653,1.629529729729732,1.7747810810810818
乌兰察布,5.2387391304347855,5.136547826086959,1.9024621621621622,1.8389378378378383
锡林郭勒盟,4.840265217391304,5.0521826086956505,2.1185486486486482,2.2502810810810807
兴安盟,4.971721739130434,4.858721739130436,1.8398945945945946,1.7696513513513525
西宁,4.380013043478261,4.5360000000000005,1.6571081081081083,1.7540729729729732
果洛州,2.8312999999999997,3.084239130434783,0.9528108108108111,1.1100432432432437
海东,4.396408695652173,4.298965217391305,1.5566216216216215,1.4960486486486486
海北州,3.6064782608695647,3.588530434782608,1.0886405405405402,1.0774837837837836
海南州,3.755943478260871,3.7716130434782595,0.9233351351351353,0.9330756756756746
海西州,2.79133043478261,3.3202869565217408,0.586951351351352,0.9157621621621628
黄南州,3.057260869565218,3.0876434782608686,0.7393999999999998,0.7582864864864858
玉树州,3.005365217391306,3.3371260869565216,1.0928972972972983,1.2991270270270265
