ct_shortname,prov,Date,value
三门峡,河南省,1,1.2271000000000005
商丘,河南省,1,0.4228999999999994
新乡,河南省,1,1.7766000000000002
信阳,河南省,1,0.7587999999999999
许昌,河南省,1,1.9200999999999997
周口,河南省,1,0.5896000000000008
驻马店,河南省,1,1.1348000000000003
济源,,1,1.8209000000000004
哈尔滨,黑龙江省,1,1.6022000000000003
大庆,黑龙江省,1,1.1644999999999999
大兴安岭,,1,4.2073
鹤岗,黑龙江省,1,0.22639999999999993
黑河,黑龙江省,1,0.5282999999999998
鸡西,黑龙江省,1,0.7492000000000001
佳木斯,黑龙江省,1,0.9076
牡丹江,黑龙江省,1,0.8371999999999997
七台河,黑龙江省,1,0.5453999999999999
齐齐哈尔,黑龙江省,1,0.5503
双鸭山,黑龙江省,1,0.6572
绥化,黑龙江省,1,0.45630000000000015
伊春,黑龙江省,1,0.20409999999999995
武汉,湖北省,1,3.2589
鄂州,湖北省,1,1.8279999999999998
恩施,,1,0.5737000000000005
黄冈,湖北省,1,2.0306
黄石,湖北省,1,2.3002999999999996
荆门,湖北省,1,1.8221000000000003
荆州,湖北省,1,1.6035999999999997
潜江,,1,1.5914000000000001
神农架,,1,1.4391000000000003
十堰,湖北省,1,2.2220000000000004
随州,湖北省,1,1.9872000000000005
天门,,1,2.4407
仙桃,,1,2.1187
咸宁,湖北省,1,2.4825
襄阳,湖北省,1,2.1084
孝感,湖北省,1,1.6618
宜昌,湖北省,1,2.4669999999999996
长沙,湖南省,1,2.4004
常德,湖南省,1,0.4906000000000006
郴州,湖南省,1,0.39039999999999964
衡阳,湖南省,1,-0.28359999999999985
怀化,湖南省,1,1.2832
娄底,湖南省,1,-0.040000000000000036
邵阳,湖南省,1,-1.0515000000000008
湘潭,湖南省,1,0.6017999999999999
湘西州,,1,0.9795999999999996
益阳,湖南省,1,-0.5137
永州,湖南省,1,-0.1607000000000003
岳阳,湖南省,1,1.3572999999999995
张家界,湖南省,1,0.6145000000000005
株洲,湖南省,1,1.5197999999999996
石家庄,河北省,1,2.3465000000000003
保定,河北省,1,1.8075
沧州,河北省,1,2.0751
承德,河北省,1,0.9600000000000004
邯郸,河北省,1,1.3651999999999997
衡水,河北省,1,1.1313
廊坊,河北省,1,1.8264
秦皇岛,河北省,1,1.0712999999999995
唐山,河北省,1,0.7180999999999997
邢台,河北省,1,1.5097
张家口,河北省,1,0.022199999999999775
南京,江苏省,1,2.8054
常州,江苏省,1,2.5567999999999995
淮安,江苏省,1,0.9334000000000007
连云港,江苏省,1,1.0334999999999996
南通,江苏省,1,1.8820000000000001
苏州,江苏省,1,3.7661
宿迁,江苏省,1,1.0578000000000003
泰州,江苏省,1,0.8586
无锡,江苏省,1,2.7738
徐州,江苏省,1,1.5799000000000003
盐城,江苏省,1,-0.7014999999999993
扬州,江苏省,1,1.6172
镇江,江苏省,1,1.8339999999999996
南昌,江西省,1,1.7957
抚州,江西省,1,0.48299999999999965
赣州,江西省,1,1.8065000000000002
吉安,江西省,1,1.004
景德镇,江西省,1,1.8268
九江,江西省,1,1.4874999999999994
萍乡,江西省,1,1.1857999999999995
上饶,江西省,1,1.0602
新余,江西省,1,2.0214000000000003
宜春,江西省,1,0.7431000000000001
