prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,popHR18_all,Log_popHR18_all
湖北省,420600,襄阳市,2017-2,1965-3,李乐成,54,True,-1.0,2020-01-26,2,0.0,1.0,8.0,36.0,70.0,131.0,163.0,286.0,347.0,441.0,548.0,632.0,735.0,787.0,838.0,907.0,988.0,1019.0,1063.0,1088.0,1101.0,1111.0,1128.0,1144.0,1155.0,1163.0,1165.0,1167.0,1170.0,1173.0,1173.0,1174.0,1175.0,1175.0,1175.0,1175.0,1175.0,0,襄阳市,20508774.0,88032.0,6.58,False,592.0,6.3835066348840055
黑龙江省,230600,大庆市,2017-3,1963-11,韩立华,56,False,,,2,1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,18.0,19.0,19.0,20.0,20.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,大庆市,22907157.0,167420.0,2.4,False,273.0,5.60947179518496
安徽省,341700,池州市,2017-3,1970-5,王宏,49,False,,,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,6.0,10.0,11.0,11.0,11.0,11.0,12.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0,池州市,3508409.0,52255.0,5.71,False,162.0,5.087596335232384
广东省,440800,湛江市,2017-3,1968-6,郑人豪,51,False,,,2,2.0,2.0,4.0,5.0,7.0,9.0,11.0,11.0,13.0,14.0,14.0,18.0,18.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,湛江市,12740693.0,75552.0,7.7,False,839.0,6.732210706467206
四川省,510100,成都市,2017-3,1966-4,范锐平,53,False,,,2,7.0,16.0,22.0,33.0,37.0,46.0,59.0,69.0,72.0,73.0,77.0,87.0,92.0,97.0,102.0,109.0,120.0,123.0,124.0,125.0,131.0,135.0,139.0,140.0,140.0,140.0,141.0,141.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,1,成都市,110100047.0,103757.0,8.7,False,1435.0,7.268920128193722
云南省,530600,昭通市,2017-3,1964-6,杨亚林,55,False,,,2,0.0,0.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,12.0,12.0,14.0,14.0,14.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,昭通市,2558688.0,30544.0,9.2,False,619.0,6.428105272684596
新疆维吾尔自治区,650100,乌鲁木齐市,2017-3,1964-11,徐海荣,55,False,,,2,0.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,10.0,12.0,12.0,15.0,18.0,19.0,20.0,20.0,20.0,20.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0,乌鲁木齐市,27075290.0,79892.0,8.11,False,223.0,5.407171771460119
新疆维吾尔自治区,650200,克拉玛依市,2017-3,1963-11,赵文泉,56,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,克拉玛依市,7445034.0,145798.0,7.5,False,31.0,3.4339872044851463
新疆维吾尔自治区,654200,塔城地区,2017-3,1966-4,薛斌,53,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,
新疆维吾尔自治区,654300,阿勒泰地区,2017-3,1962-4,张岩,57,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,
安徽省,340200,芜湖市,2017-4,1968-3,潘朝晖,51,False,,,2,0.0,1.0,3.0,6.0,9.0,11.0,14.0,14.0,15.0,16.0,16.0,21.0,23.0,26.0,27.0,29.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,0,芜湖市,19018514.0,114672.0,9.47,False,388.0,5.961005339623274
广东省,441600,河源市,2017-4,1965-1,丁红都,55,False,,,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,河源市,3790678.0,77614.0,4.8,False,373.0,5.921578419643816
广西壮族自治区,450700,钦州市,2017-4,1962-11,王革冰,57,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,钦州市,5918520.0,46302.0,9.62,False,411.0,6.018593214496234
西藏自治区,540300,昌都市,2017-4,1967-3,阿布,52,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,昌都市,563394.0,36715.0,10,False,76.0,4.330733340286331
陕西省,610800,榆林市,2017-4,1960-11,戴征社,59,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,榆林市,6984704.0,106175.0,8.5,False,385.0,5.953243334287785
甘肃省,620400,白银市,2017-4,1966-7,苏君,53,False,,,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,白银市,2679410.0,53863.0,1.3,False,182.0,5.204006687076795
甘肃省,620600,武威市,2017-4,1971-11,柳鹏,48,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,武威市,2722793.0,26828.0,-2.2,False,190.0,5.247024072160486
新疆维吾尔自治区,650400,吐鲁番市,2017-4,1968-1,张文胜,52,False,,,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,吐鲁番市,854603.0,29925.0,8.27,False,64.0,4.1588830833596715
辽宁省,210200,大连市,2017-4,1968-10,谭作钧,51,True,-12.0,2020-02-05,2,1.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,10.0,12.0,12.0,13.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,1,大连市,53917639.0,113675.0,7.31,False,595.0,6.38856140554563
广东省,440300,深圳市,2017-4,1962-3,王伟中,57,True,-15.0,2020-02-08,2,15.0,20.0,31.0,36.0,57.0,80.0,98.0,134.0,170.0,207.0,245.0,271.0,291.0,316.0,339.0,354.0,366.0,369.0,375.0,386.0,391.0,400.0,406.0,414.0,415.0,416.0,416.0,416.0,416.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,1,深圳市,224900586.0,184068.0,8.8,False,435.0,6.075346031088684
宁夏回族自治区,640300,吴忠市,2017-4,1963-10,沈左权,56,True,-3.0,2020-01-31,2,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,13.0,15.0,19.0,22.0,25.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0,吴忠市,1895152.0,45931.0,7.8,False,143.0,4.962844630259907
贵州省,522700,黔南布依族苗族自治州,2017-5,1965-7,唐德智,54,False,,,2,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0,,,,,True,,
云南省,530700,丽江市,2017-5,1965-12,崔茂虎,54,False,,,2,1.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,丽江市,1242906.0,56780.0,8.1,False,123.0,4.812184355372417
甘肃省,620700,张掖市,2017-5,1962-9,杨维俊,57,False,,,2,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,张掖市,1646975.0,31881.0,4.71,False,131.0,4.875197323201151
甘肃省,620800,平凉市,2017-5,1962-8,郭承录,57,False,,,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,平凉市,1286773.0,24334.0,4,False,234.0,5.455321115357702
甘肃省,621100,定西市,2017-5,1963-6,唐晓明,56,False,,,2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,定西市,767389.0,17890.0,4.3,False,303.0,5.713732805509369
青海省,632300,黄南藏族自治州,2017-5,1964-10,王振昌,55,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,
内蒙古自治区,150400,赤峰市,2017-5,1962-7,段志强,57,True,-19.0,2020-02-13,2,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,赤峰市,6113256.0,43746.0,3.1,False,460.0,6.131226489483141
内蒙古自治区,150800,巴彦淖尔市,2017-5,1968-10,常志刚,51,True,-15.0,2020-02-13,2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,巴彦淖尔市,2421916.0,43728.0,3.6,False,174.0,5.159055299214529
黑龙江省,230100,哈尔滨市,2017-5,1962-12,王兆力,57,True,-11.0,2020-02-04,2,1.0,6.0,8.0,8.0,10.0,11.0,13.0,18.0,25.0,34.0,45.0,63.0,73.0,82.0,94.0,100.0,114.0,128.0,146.0,150.0,159.0,164.0,167.0,182.0,188.0,190.0,192.0,194.0,197.0,197.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,1,哈尔滨市,47127585.0,85567.0,7.6,False,955.0,6.86171134048073
四川省,511900,巴中市,2017-6,1967-10,罗增斌,52,False,,,2,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,8.0,8.0,12.0,12.0,15.0,19.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,巴中市,2169990.0,18292.0,8.5,False,376.0,5.929589143389895
西藏自治区,540500,山南市,2017-6,1963-7,许成仓,56,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,山南市,493693.0,67788.0,10.2,False,35.0,3.5553480614894135
陕西省,610300,宝鸡市,2017-6,1965-8,徐启方,54,False,,,2,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,6.0,7.0,8.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0,宝鸡市,10803650.0,73939.0,8.1,False,381.0,5.942799375126701
宁夏回族自治区,640400,固原市,2017-6,1968-2,张柱,52,False,,,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,固原市,1176599.0,27929.0,8,False,151.0,5.017279836814924
宁夏回族自治区,640500,中卫市,2017-6,1965-10,何健,54,False,,,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0,中卫市,1716928.0,42041.0,7.9,False,122.0,4.804021044733257
山西省,140100,太原市,2017-6,1963-10,罗清宇,56,False,,,2,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,9.0,11.0,12.0,15.0,17.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0,太原市,31483179.0,88340.0,7.7,False,369.0,5.910796644040527
宁夏回族自治区,640100,银川市,2017-6,1960-8,姜志刚,59,True,-7.0,2020-01-31,2,1.0,1.0,2.0,5.0,7.0,7.0,9.0,11.0,15.0,16.0,19.0,20.0,20.0,25.0,27.0,29.0,28.0,28.0,30.0,31.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,0,银川市,11039244.0,77927.0,7.5,False,189.0,5.241747015059643
福建省,350100,福州市,2017-6,1961-4,王宁,58,True,-11.0,2020-02-04,2,5.0,6.0,13.0,18.0,24.0,24.0,30.0,32.0,39.0,44.0,47.0,53.0,55.0,56.0,57.0,59.0,62.0,63.0,63.0,64.0,64.0,66.0,66.0,68.0,69.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,0,福州市,43005530.0,111092.0,8.9,False,693.0,6.541029999189903
安徽省,341100,滁州市,2017-7,1964-10,张祥安,55,False,,,2,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0,滁州市,4329164.0,73807.0,11,False,454.0,6.118097198041348
湖南省,430100,长沙市,2017-7,1963-6,胡衡华,56,False,,,2,8.0,8.0,18.0,22.0,24.0,46.0,57.0,68.0,86.0,112.0,125.0,148.0,164.0,179.0,190.0,196.0,205.0,213.0,219.0,223.0,228.0,238.0,241.0,241.0,241.0,241.0,241.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,0,长沙市,63903360.0,152441.0,8.3,False,709.0,6.5638555265321274
湖南省,430700,常德市,2017-7,1966-2,周德睿,53,False,,,2,0.0,3.0,7.0,12.0,19.0,26.0,30.0,37.0,39.0,42.0,45.0,50.0,56.0,62.0,64.0,66.0,66.0,72.0,73.0,75.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,0,常德市,16105239.0,102869.0,7.8,False,606.0,6.406879986069314
四川省,511400,眉山市,2017-7,1962-8,慕新海,57,False,,,2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,眉山市,5546799.0,47875.0,5.6,False,345.0,5.84354441703136
云南省,532600,文山壮族苗族自治州,2017-7,1964-5,童志云,55,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,,,,,True,,
江苏省,320100,南京市,2017-7,1962-7,张敬华,57,True,-11.0,2020-02-04,2,3.0,4.0,7.0,7.0,10.0,14.0,19.0,25.0,28.0,35.0,40.0,44.0,47.0,52.0,57.0,65.0,71.0,78.0,84.0,87.0,90.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,1,南京市,117151000.0,141103.0,8.1,False,681.0,6.523562306149512
贵州省,522300,黔西南布依族苗族自治州,2017-8,1967-8,刘文新,52,False,,,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,,,,,True,,
云南省,532300,楚雄彝族自治州,2017-8,1966-9,杨斌,53,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,,,,,True,,
云南省,533300,怒江傈僳族自治州,2017-8,1968-5,纳云德,51,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,
青海省,630200,海东市,2017-8,1963-11,鸟成云,56,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,海东市,1653467.0,98134.0,7.5,False,172.0,5.147494476813453
河北省,131100,衡水市,2017-9,1963-8,王景武,56,False,,,2,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,衡水市,5534965.0,57615.0,7.2,False,454.0,6.118097198041348
河南省,411100,漯河市,2018-1,1968-10,蒿慧杰,51,False,,,2,0.0,0.0,3.0,6.0,9.0,9.0,11.0,13.0,14.0,16.0,20.0,23.0,24.0,26.0,26.0,29.0,30.0,30.0,31.0,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0,漯河市,7027980.0,51980.0,8.2,False,267.0,5.58724865840025
甘肃省,620200,嘉峪关市,2018-1,1962-10,李忠科,57,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,嘉峪关市,2996200.0,,,False,21.0,3.044522437723423
甘肃省,620900,酒泉市,2018-1,1963-1,吴仰东,57,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,酒泉市,1687479.0,40257.0,2.5,False,99.0,4.59511985013459
新疆维吾尔自治区,652300,昌吉回族自治州,2018-1,1965-1,王国和,55,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,,,,,True,,
山西省,140600,朔州市,2018-1,1963-8,陈振亮,56,False,,,2,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,朔州市,4583205.0,127482.0,,False,164.0,5.099866427824199
河南省,411000,许昌市,2018-10,1963-6,胡五岳,56,False,,,1,0.0,0.0,0.0,1.0,2.0,2.0,3.0,8.0,12.0,13.0,15.0,19.0,24.0,26.0,28.0,30.0,31.0,31.0,32.0,34.0,34.0,37.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0,许昌市,7495540.0,57640.0,8.8,False,508.0,6.230481447578482
广东省,441700,阳江市,2018-10,1962-5,焦兰生,57,False,,,1,3.0,5.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,0,阳江市,7094626.0,60119.0,6.5,False,297.0,5.6937321388027
四川省,510500,泸州市,2018-10,1965-8,刘强,54,False,,,1,0.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,10.0,12.0,13.0,13.0,16.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,泸州市,8407557.0,57669.0,9.7,False,510.0,6.234410725718371
宁夏回族自治区,640200,石嘴山市,2018-10,1963-2,王文宇,57,False,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,石嘴山市,3771905.0,73860.0,7,False,74.0,4.30406509320417
辽宁省,210300,鞍山市,2018-10,1962-5,韩玉起,57,True,-4.0,2020-02-05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,鞍山市,8640987.0,,6.61,False,344.0,5.840641657373398
海南省,460200,三亚市,2018-11,1967-10,童道驰,52,False,,,1,2.0,6.0,8.0,11.0,14.0,14.0,14.0,14.0,15.0,17.0,18.0,18.0,22.0,30.0,34.0,37.0,41.0,43.0,46.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,0,三亚市,5298048.0,69780.0,7.6,False,59.0,4.07753744390572
新疆维吾尔自治区,650500,哈密市,2018-11,1968-1,李成辉,52,False,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,哈密市,3591681.0,73077.0,7.3,False,56.0,4.02535169073515
