,cityName,confirmedCount,suspectedCount,curedCount,deadCount,date,prov,locationId,currentConfirmedCount
404,泸州,2,0,0,0,2020-01-26,四川省,,
405,南充,2,0,0,0,2020-01-26,四川省,,
406,甘孜州,2,0,0,0,2020-01-26,四川省,,
407,德阳,1,0,0,0,2020-01-26,四川省,,
408,雅安,1,0,0,0,2020-01-26,四川省,,
409,达州,1,0,0,0,2020-01-26,四川省,,
410,自贡,1,0,0,0,2020-01-26,四川省,,
411,内江,1,0,0,0,2020-01-26,四川省,,
412,乐山,1,0,0,0,2020-01-26,四川省,,
413,眉山,1,0,0,0,2020-01-26,四川省,,
414,三亚,8,0,0,0,2020-01-26,海南省,,
415,万宁,5,0,0,0,2020-01-26,海南省,,
416,海口,3,0,0,0,2020-01-26,海南省,,
417,儋州,3,0,0,0,2020-01-26,海南省,,
418,临高,1,0,0,0,2020-01-26,海南省,,
419,陵水,1,0,0,0,2020-01-26,海南省,,
420,澄迈,1,0,0,0,2020-01-26,海南省,,
421,银川,2,0,0,0,2020-01-26,宁夏回族自治区,,
422,中卫,1,0,0,0,2020-01-26,宁夏回族自治区,,
423,固原,1,0,0,0,2020-01-26,宁夏回族自治区,,
424,信阳,22,0,0,0,2020-01-26,河南省,,
425,郑州,20,0,0,0,2020-01-26,河南省,,
426,南阳,15,0,0,1,2020-01-26,河南省,,
427,驻马店,7,0,0,0,2020-01-26,河南省,,
428,周口,5,0,0,0,2020-01-26,河南省,,
429,新乡,3,0,0,0,2020-01-26,河南省,,
430,安阳,3,0,0,0,2020-01-26,河南省,,
431,漯河,3,0,0,0,2020-01-26,河南省,,
432,三门峡,2,0,0,0,2020-01-26,河南省,,
433,平顶山,2,0,0,0,2020-01-26,河南省,,
434,洛阳,1,0,0,0,2020-01-26,河南省,,
435,固始县,1,0,0,0,2020-01-26,河南省,,
436,杭州,27,0,0,0,2020-01-26,浙江省,,
437,台州,21,0,0,0,2020-01-26,浙江省,,
438,温州,18,0,1,0,2020-01-26,浙江省,,
439,宁波,13,0,0,0,2020-01-26,浙江省,,
440,嘉兴,8,0,0,0,2020-01-26,浙江省,,
441,绍兴,5,0,0,0,2020-01-26,浙江省,,
442,金华,3,0,0,0,2020-01-26,浙江省,,
443,衢州,3,0,0,0,2020-01-26,浙江省,,
444,丽水,3,0,0,0,2020-01-26,浙江省,,
445,舟山,2,0,0,0,2020-01-26,浙江省,,
446,湖州,1,0,0,0,2020-01-26,浙江省,,
447,长沙,18,0,0,0,2020-01-26,湖南省,,
448,怀化,8,0,0,0,2020-01-26,湖南省,,
449,常德,7,0,0,0,2020-01-26,湖南省,,
450,岳阳,6,0,0,0,2020-01-26,湖南省,,
451,娄底,5,0,0,0,2020-01-26,湖南省,,
452,永州,4,0,0,0,2020-01-26,湖南省,,
453,益阳,4,0,0,0,2020-01-26,湖南省,,
454,株洲,3,0,0,0,2020-01-26,湖南省,,
455,湘潭,3,0,0,0,2020-01-26,湖南省,,
456,郴州,3,0,0,0,2020-01-26,湖南省,,
457,衡阳,3,0,0,0,2020-01-26,湖南省,,
458,湘西自治州,3,0,0,0,2020-01-26,湖南省,,
459,邵阳,2,0,0,0,2020-01-26,湖南省,,
460,合肥,13,0,0,0,2020-01-26,安徽省,,
461,阜阳,10,0,0,0,2020-01-26,安徽省,,
462,马鞍山,7,0,0,0,2020-01-26,安徽省,,
463,亳州,6,0,0,0,2020-01-26,安徽省,,
464,安庆,5,0,0,0,2020-01-26,安徽省,,
465,六安,3,0,0,0,2020-01-26,安徽省,,
466,铜陵,3,0,0,0,2020-01-26,安徽省,,
467,芜湖,3,0,0,0,2020-01-26,安徽省,,
468,滁州,2,0,0,0,2020-01-26,安徽省,,
469,宿州,2,0,0,0,2020-01-26,安徽省,,
470,池州,1,0,0,0,2020-01-26,安徽省,,
471,蚌埠,1,0,0,0,2020-01-26,安徽省,,
472,宣城,1,0,0,0,2020-01-26,安徽省,,
473,淮北,1,0,0,0,2020-01-26,安徽省,,
474,淮南,1,0,0,0,2020-01-26,安徽省,,
475,黄山,1,0,0,0,2020-01-26,安徽省,,
476,哈尔滨,8,0,0,0,2020-01-26,黑龙江省,,
477,大庆,3,0,0,0,2020-01-26,黑龙江省,,
478,绥化,2,0,0,1,2020-01-26,黑龙江省,,
479,牡丹江,1,0,0,0,2020-01-26,黑龙江省,,
480,齐齐哈尔,1,0,0,0,2020-01-26,黑龙江省,,
481,石家庄,5,0,0,0,2020-01-26,河北省,,
