,locked_on_date,bdidx_avgdiff_holiday,bdidx_avgdiff_date,popHR18_all,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
95,0,1.0307972972972983,1.2668972972972992,342.0,10.0,4673400.0,0.029239766081871343,46.61,52.04,0,55,2,35.3,0,1,0,0,111.0,5106.0,452.0,1.106194690265487,0.2700000000000031,46.0,53.73,0.0,0,1,0,0,1,36.0,36.0
96,0,2.6890783783783783,2.6515324324324325,221.0,10.0,2681085.0,0.04524886877828054,30.34,69.4,0,55,2,31.47,0,0,1,0,83.0,5730.0,259.0,5.791505791505792,0.37999999999999545,61.67,37.95,1.0,0,0,1,0,0,22.0,37.0
97,1,2.2651729729729726,1.7604891891891885,597.0,157.0,62826874.0,0.2629815745393635,49.53,48.97,1,58,2,66.3,1,0,0,0,154.0,24268.0,7500.0,19.573333333333334,0.019999999999996017,61.02,38.96,0.0,0,1,0,0,0,34.0,37.0
98,1,2.4254891891891908,2.8663270270270282,961.0,139.0,3668609.0,0.14464099895941726,46.95,45.74,0,54,2,55.64,0,0,1,0,79.0,12896.0,1715.0,1.6909620991253644,0.8699999999999974,44.74,54.39,0.0,0,1,0,0,1,34.0,30.0
100,0,1.52171891891892,1.220489189189189,97.0,10.0,9165154.0,0.10309278350515463,34.21,58.13,0,56,2,66.3,1,0,0,0,30.0,3581.0,351.0,6.552706552706553,0.039999999999992035,33.2,66.76,0.0,1,0,0,0,1,33.0,38.0
101,0,2.640437837837836,2.686799999999999,647.0,57.0,8005138.0,0.08809891808346214,42.89,56.17,0,56,2,55.64,0,0,1,0,115.0,14298.0,1240.0,4.032258064516129,0.07000000000000027,60.65,39.28,0.0,0,1,0,0,1,35.0,37.0
102,0,2.195956756756758,2.7741324324324332,1258.0,76.0,2360046.0,0.06041335453100159,49.87,46.49,0,56,2,55.64,0,0,1,0,140.0,16413.0,1274.0,1.7268445839874411,0.17999999999999972,48.39,51.43,0.0,0,1,0,0,1,35.0,24.0
104,0,1.732981081081081,1.7526594594594609,465.0,41.0,7093733.0,0.08817204301075268,38.92,54.07,0,58,2,31.22,0,1,0,0,100.0,9401.0,446.0,6.95067264573991,0.5500000000000114,21.88,77.57,0.0,0,0,1,0,1,37.0,39.0
106,0,2.3056216216216217,2.295408108108108,273.0,26.0,22907157.0,0.09523809523809523,62.09,35.51,0,56,2,31.47,0,0,1,0,113.0,9926.0,419.0,3.818615751789976,0.5700000000000003,49.62,49.81,1.0,0,0,1,0,1,33.0,30.0
107,0,1.5030567567567563,1.7124486486486483,162.0,17.0,3508409.0,0.10493827160493827,49.57,41.7,0,49,2,36.14,0,1,0,0,30.0,2932.0,580.0,2.931034482758621,0.6799999999999997,36.82,62.5,1.0,0,0,1,1,1,24.0,29.0
