locked_on_date,bd_feb15avgdif_holi,bd_feb15avgdif_date,bd_feb29avgdif_holi,bd_feb29avgdif_date,popHR18_all,prov,ctnm,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,age_feb20,tenure,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
0,5.093147826086956,5.2194956521739115,1.9820540540540537,2.0605945945945936,403.0,湖南省,株洲市,78.0,11740538.0,0.1935483870967742,45.01,52.97,57,3,35.3,190.0,10620.0,1658.0,2.714113389626055,54.9,44.75,1.0,0,0,1,0,1,28.0,36.0
0,4.73322608695652,4.868091304347823,1.5919837837837822,1.675818918918917,288.0,湖南省,湘潭市,35.0,12342154.0,0.12152777777777778,54.41,44.1,55,3,35.3,63.0,7526.0,970.0,3.608247422680412,58.54,41.45,0.0,0,1,0,0,1,27.0,31.0
0,4.012208695652172,4.801491304347825,1.0143432432432418,1.504978378378377,826.0,湖南省,邵阳市,100.0,3417031.0,0.12106537530266344,46.34,50.17,58,3,35.3,293.0,12799.0,1256.0,2.070063694267516,37.43,61.65,0.0,0,1,0,0,0,33.0,32.0
1,5.5242652173913065,6.324191304347828,1.9781783783783795,2.4754297297297305,783.0,江西省,上饶市,123.0,6203743.0,0.15708812260536398,41.95,53.24,57,3,32.02,147.0,11101.0,1303.0,2.609363008442057,42.54,56.19,0.0,0,1,0,0,1,36.0,37.0
0,5.772043478260867,5.9266869565217375,2.777089189189188,2.8732189189189183,624.0,河南省,安阳市,51.0,6166974.0,0.08173076923076923,45.1,53.72,57,3,55.64,100.0,13263.0,944.0,1.6949152542372878,59.76,40.12,1.0,1,0,0,0,1,36.0,37.0
0,6.0480652173913025,6.022678260869562,2.839848648648649,2.8240675675675666,371.0,河南省,焦作市,30.0,5162899.0,0.08086253369272237,42.5,56.27,57,3,55.64,92.0,8994.0,1289.0,2.094647013188518,60.55,39.38,0.0,0,1,0,0,0,35.0,35.0
0,4.310673913043479,4.8796086956521725,1.1699891891891898,1.5236513513513517,268.0,广西壮族自治区,来宾市,11.0,2936789.0,0.041044776119402986,34.75,42.91,54,3,37.35,21.0,3772.0,227.0,4.405286343612334,24.93,67.85,1.0,0,1,0,0,1,24.0,29.0
1,5.703052173913036,6.345586956521739,2.637013513513511,3.0364270270270266,911.0,河南省,信阳市,252.0,5867475.0,0.27661909989023054,44.66,43.08,58,3,55.64,270.0,9940.0,1110.0,1.351351351351351,43.66,56.17,0.0,0,1,0,0,1,29.0,35.0
0,4.3239478260869575,3.9767826086956535,1.4906864864864864,1.2748810810810816,396.0,广东省,江门市,22.0,14192763.0,0.05555555555555555,49.77,46.83,57,3,182.12,44.0,9859.0,2112.0,32.95454545454545,57.62,42.28,0.0,0,1,0,0,1,34.0,38.0
0,2.2257956521739124,2.189117391304347,0.3633405405405403,0.3405405405405406,79.0,西藏自治区,日喀则市,0.0,731016.0,0.0,40.63,51.83,55,3,35.26,22.0,1383.0,15.0,0.0,7.93,91.3,0.0,0,1,0,0,0,30.0,39.0
0,2.5796782608695645,2.327569565217392,0.8548891891891892,0.6981729729729733,19.0,西藏自治区,林芝市,0.0,652800.0,0.0,38.56,59.11,58,3,35.26,17.0,431.0,3.0,0.0,6.67,89.93,0.0,0,1,0,0,0,32.0,36.0
0,4.688256521739127,4.330978260869565,2.2660945945945934,2.0440027027027026,474.0,河北省,廊坊市,29.0,8648469.0,0.06118143459915612,38.63,59.19,54,3,31.22,153.0,11877.0,1180.0,12.627118644067798,45.01,54.44,0.0,0,1,0,0,1,35.0,34.0
1,4.160382608695653,4.550821739130434,1.1179891891891889,1.3606945945945927,555.0,四川省,宜宾市,11.0,7516818.0,0.01981981981981982,51.06,42.6,57,3,66.1,172.0,9022.0,692.0,1.300578034682081,48.21,51.23,0.0,0,1,0,0,1,37.0,24.0
0,4.25561304347826,4.938665217391305,1.1803621621621607,1.6049621621621624,733.0,四川省,南充市,35.0,6692215.0,0.047748976807639835,43.99,42.96,57,3,66.1,112.0,13077.0,722.0,1.662049861495845,39.98,59.83,0.0,1,0,0,0,1,36.0,36.0
1,4.116465217391303,4.565556521739131,1.279567567567566,1.5587324324324316,415.0,四川省,内江市,22.0,4772911.0,0.05301204819277108,44.3,41.8,55,3,66.1,72.0,5507.0,317.0,4.416403785488959,50.86,48.86,0.0,0,1,0,0,0,33.0,37.0
0,4.938852173913046,5.02565217391304,1.8860351351351368,1.939991891891892,228.0,河南省,三门峡市,7.0,4316182.0,0.03070175438596491,45.02,49.12,56,3,55.64,51.0,5297.0,501.0,2.7944111776447107,50.95,48.75,0.0,0,0,1,0,1,34.0,32.0
0,5.972547826086958,6.641647826086958,2.353191891891892,2.7691189189189203,987.0,河南省,商丘市,90.0,4793000.0,0.0911854103343465,43.97,42.02,54,3,55.64,79.0,14756.0,1350.0,1.925925925925926,46.88,53.01,1.0,0,1,0,0,1,35.0,27.0
0,4.117517391304347,4.933,0.6792486486486471,1.186170270270269,440.0,贵州省,铜仁市,10.0,2077400.0,0.022727272727272728,39.59,48.93,50,3,35.3,99.0,6432.0,550.0,1.0909090909090908,14.0,85.58,0.0,0,1,0,0,1,29.0,31.0
