"资阳市",21^30^,43,23,10984,6183,5145,2197
"贵州省",〇111211011,,,,,,
"贵阳市",,185,149,31 36 6,26317,16858,14087
"六盘水市",11〇卩30811111,111,41,12563,5079,5106,2188
"遵义市",2110̂ 1,193,66,369 86,15534,14432,7216
"安顺市",;\〇811 以 0,73,47,9725,6324,3743,2455
"毕节市",81^16,509,77,35143,4 53 2,11505,1516
"铜仁市",丁0 〇8犷60,99,32,12220,3820,6432,1913
"云南省",V II1111311,,,,,,
"昆明市",1̂11111111113,308,227,53072,41 1 5 4,27317,225 80
"曲靖市",,113,41,24113,7789,9345,3574
"玉溪市",^11X 1,72,33,11119,5649,5889,2892
"保山市",830811311,50,22,8912,3877,4 36 0,1841
"昭通市",2113〇1〇〇2,297,50,24 506,5676,7676,832
"丽江市",1^】& 11呂,30,14,4452,1475,2085,727
"普洱市",1511丨6犷,43,12,8600,3410,4215,1471
"临沧市",1^00308,53,13,8192,3173,3315,1112
"西藏自治区",,,,,,,
"拉萨市",,28,,3519,,2552,
"曰喀则市",乂1明26,22,1,1951,120,1383,180
"昌都市",以爪加,28,,1163,,836,125
"林芝市",1̂ 02111,17,,801,,431,
"山南市",81130030,17,1,1284,,1701,120
"那曲市",&̂0|11,21,,1245,,766,
"陕西省",8113311X1,,,,,,
"西安市",,329,311,58219,55789,30820,29307
"铜川市",1〇0̂〇1111311,47,45,5531,5301,2505,2350
"宝鸡市",830』1,105,58,20029,11447,9858,5827
"咸阳市",又130丫30@,151,62,23217,11155,10820,5137
"渭南市",^610&11,155,36,20433,6107,9605,4577
"延安市",丫(10)’如,63,24,10152,5176,5266,2707
"汉中市",1̂ 3112110112,80,47,17488,1941,6990,2890
"榆林市",1̂11111,109,30,16359,5980,7390,2468
"安康市",八0让3112,48,17,10358,5210,8577,2257
"商洛市",81130̂ 1110,180,5,11765,2725,4362,1435
"甘肃省",0311511,,,,,,
"兰州市",130211011,127,100,25382,22075,13692,12122
"嘉峪关市",1̂3X11̂11311,10,,1668,,864,
"金昌市",1̂00113112,13,9,2442,1774,1385,847
"白银市",831̂ 111,102,30,7734,3995,3341,1700
"天水市",1130811111,49,23,10771,6679,5045,1800
"武威市",,12,6,6826,4605,3695,2364
"张掖市",211302X6,53,26,6343,2775,3308,1676
"平凉市",,149,23,12490,4316,4594,1214
