prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,popHR18_all,Log_popHR18_all,primary_ind,second_ind,third_ind,prov_full,yiji_date,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,yiji_num
湖南省,431000,郴州市,2015-4,1962-5,易鹏飞,57,0,,,4,1.0,1.0,3.0,6.0,7.0,7.0,10.0,12.0,13.0,18.0,21.0,22.0,24.0,25.0,29.0,31.0,32.0,32.0,33.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0,郴州市,6904667.0,79721.0,7.7,False,534.0,6.280395838960195,3.5,42.09,54.4,湖南省,2020-01-23,1,0,0,0,0
陕西省,610400,咸阳市,2015-4,1961-11,岳亮,58,0,,,4,1.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,11.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0,咸阳市,7049152.0,123996.0,7.95,False,468.0,6.148468295917647,0.95,71.34,27.71,陕西省,2020-01-25,0,0,1,0,2
江西省,361000,抚州市,2015-4,1962-5,肖毅,57,1,-13.0,2020-02-06,4,1.0,4.0,6.0,7.0,8.0,9.0,13.0,15.0,18.0,24.0,29.0,34.0,44.0,46.0,56.0,59.0,63.0,64.0,67.0,68.0,69.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0,抚州市,3966520.0,35359.0,8.7,False,431.0,6.066108090103747,11.55,46.5,41.95,江西省,2020-01-24,0,1,0,0,1
青海省,630100,西宁市,2015-5,1968-5,王晓,51,0,,,4,0.0,1.0,4.0,6.0,6.0,6.0,6.0,8.0,9.0,9.0,12.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,西宁市,10086748.0,77662.0,10.8,False,206.0,5.327876168789581,0.25,37.4,62.35,青海省,2020-01-26,0,0,0,1,3
广西壮族自治区,450100,南宁市,2015-5,1962-1,王小东,58,1,-10.0,2020-02-05,4,0.0,0.0,1.0,5.0,5.0,7.0,15.0,16.0,16.0,16.0,22.0,27.0,28.0,30.0,31.0,32.0,35.0,37.0,41.0,44.0,44.0,47.0,49.0,50.0,51.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0,南宁市,34107409.0,79292.0,8.2,False,757.0,6.6293632534374485,6.18,40.15,53.66,广西壮族自治区,2020-01-24,0,1,0,0,1
四川省,513300,甘孜藏族自治州,2015-6,1963-2,刘成鸣,57,0,,,4,0.0,0.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,8.0,10.0,12.0,17.0,17.0,17.0,23.0,27.0,36.0,37.0,43.0,44.0,50.0,57.0,62.0,65.0,67.0,68.0,69.0,69.0,69.0,69.0,71.0,74.0,78.0,78.0,0,,,,,True,,,,,,四川省,2020-01-24,0,1,0,0,1
陕西省,610600,延安市,2015-6,1962-4,徐新荣,57,0,,,4,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,延安市,3825290.0,46935.0,8.5,False,238.0,5.472270673671475,5.56,43.17,51.27,陕西省,2020-01-25,0,0,1,0,2
青海省,632700,玉树藏族自治州,2015-7,1965-5,吴德军,54,0,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,,,,,青海省,2020-01-26,0,0,0,1,3
青海省,632800,海西蒙古族藏族自治州,2015-7,1969-8,文国栋,50,0,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,,,,,青海省,2020-01-26,0,0,0,1,3
江西省,360700,赣州市,2015-7,1963-2,李炳军,57,1,-12.0,2020-02-06,4,0.0,2.0,7.0,7.0,10.0,16.0,21.0,27.0,30.0,34.0,35.0,42.0,48.0,52.0,59.0,64.0,69.0,71.0,72.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0,赣州市,7665439.0,41863.0,9.8,False,974.0,6.881411303642535,6.54,43.71,49.75,江西省,2020-01-24,0,1,0,0,1
